Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,API,Score Label,Compute Score,Result URL,Schema
"Nov 06, 2025 clamchow","B760M LLC1.65,LVL3 , 128BCLK, 150OFFSET MEM 2432, VCOREMAX 1.296",Intel Core i5-12490F 3000 MHz (6 cores),3000.0,6,Windows,OpenCL,OpenCL Score,98254,/v6/compute/5149390,v6-compute
"Nov 06, 2025",iPhone 14 Pro,Apple A16 Bionic 3460 MHz (6 cores),3460.0,6,iOS,Metal,Metal Score,23863,/v6/compute/5149389,v6-compute
"Nov 06, 2025",LENOVO TB322FC,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,OpenCL,OpenCL Score,17755,/v6/compute/5149388,v6-compute
"Nov 06, 2025",iPhone 15 Pro,Apple A17 Pro 3780 MHz (6 cores),3780.0,6,iOS,Metal,Metal Score,28262,/v6/compute/5149387,v6-compute
"Nov 06, 2025",iPad Pro 11-inch (M4),Apple M4 4406 MHz (9 cores),4406.0,9,iOS,Metal,Metal Score,55846,/v6/compute/5149386,v6-compute
"Nov 06, 2025",rockchip rk3576_16,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,Vulkan,Vulkan Score,1519,/v6/compute/5149385,v6-compute
"Nov 06, 2025",rockchip rk3576_tablet,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,Vulkan,Vulkan Score,1556,/v6/compute/5149384,v6-compute
"Nov 06, 2025",samsung SM-F966U1,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,Vulkan,Vulkan Score,20068,/v6/compute/5149383,v6-compute
"Nov 06, 2025",rockchip rk3576_tablet,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,OpenCL,OpenCL Score,1542,/v6/compute/5149382,v6-compute
"Nov 06, 2025 Goteamgreen",MicroElectronics G464,AMD Ryzen 9 3900X 4001 MHz (12 cores),4001.0,12,Windows,OpenCL,OpenCL Score,85923,/v6/compute/5149381,v6-compute
"Nov 06, 2025","iPhone18,2",ARM 4252 MHz (6 cores),4252.0,6,iOS,Metal,Metal Score,45759,/v6/compute/5149380,v6-compute
"Nov 06, 2025",Xiaomi Poco F5,ARM ARMv8 1804 MHz (8 cores),1804.0,8,Android,OpenCL,OpenCL Score,4011,/v6/compute/5149379,v6-compute
"Nov 06, 2025",Nubia Red Magic 8 Pro,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,OpenCL,OpenCL Score,9238,/v6/compute/5149378,v6-compute
"Nov 06, 2025",HP Victus by HP Gaming Laptop 16-s0xxx,AMD Ryzen 5 7640HS 4301 MHz (6 cores),4301.0,6,Windows,OpenCL,OpenCL Score,18604,/v6/compute/5149377,v6-compute
"Nov 06, 2025",LENOVO 83GS,Intel Core i5-12450HX 2400 MHz (8 cores),2400.0,8,Windows,OpenCL,OpenCL Score,86703,/v6/compute/5149376,v6-compute
"Nov 06, 2025",samsung SM-E146B,ARM ARMv8 2002 MHz (8 cores),2002.0,8,Android,Vulkan,Vulkan Score,1310,/v6/compute/5149375,v6-compute
"Nov 06, 2025",LENOVO 20MAS2RC00,Intel Core i7-8850H 2592 MHz (6 cores),2592.0,6,Windows,OpenCL,OpenCL Score,37557,/v6/compute/5149374,v6-compute
"Nov 06, 2025 orion1",LENOVO 20MAS2RC00,Intel Core i7-8850H 2592 MHz (6 cores),2592.0,6,Windows,OpenCL,OpenCL Score,37557,/v6/compute/5149373,v6-compute
"Nov 06, 2025",OnePlus OPD2415,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,OpenCL,OpenCL Score,17884,/v6/compute/5149372,v6-compute
"Nov 06, 2025","iMac19,1",Intel Core i7-8700 3200 MHz (6 cores),3200.0,6,macOS,Metal,Metal Score,4773,/v6/compute/5149371,v6-compute
"Nov 06, 2025","iPhone17,5",ARM 4040 MHz (6 cores),4040.0,6,iOS,Metal,Metal Score,24055,/v6/compute/5149370,v6-compute
"Nov 06, 2025",LENOVO 83GS,Intel Core i5-12450HX 2400 MHz (8 cores),2400.0,8,Windows,Vulkan,Vulkan Score,3826,/v6/compute/5149369,v6-compute
"Nov 06, 2025","iPhone18,2",ARM 4254 MHz (6 cores),4254.0,6,iOS,Metal,Metal Score,45709,/v6/compute/5149368,v6-compute
"Nov 06, 2025","iPhone18,4",ARM 4258 MHz (6 cores),4258.0,6,iOS,Metal,Metal Score,38160,/v6/compute/5149367,v6-compute
"Nov 06, 2025",OnePlus CPH2649,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,OpenCL,OpenCL Score,17484,/v6/compute/5149366,v6-compute
"Nov 06, 2025",iPhone 12 Pro Max,Apple A14 Bionic 2990 MHz (6 cores),2990.0,6,iOS,Metal,Metal Score,8908,/v6/compute/5149365,v6-compute
