Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,User,Single-Core Score,Multi-Core Score,Result URL,Schema
"Oct 24, 2025","iPad17,1",ARM 4424 MHz (9 cores),4424.0,9,iOS,,4189,15828,/v6/cpu/14638969,v6
"Oct 23, 2025","Mac17,2",Apple M5 4607 MHz (10 cores),4607.0,10,macOS,,4189,17578,/v6/cpu/14624806,v6
"Oct 23, 2025","iPad17,3",ARM 4426 MHz (9 cores),4426.0,9,iOS,,4189,15392,/v6/cpu/14621722,v6
"Oct 23, 2025 Aaronage","iPad17,3",ARM 4427 MHz (10 cores),4427.0,10,iOS,Aaronage,4189,16152,/v6/cpu/14616025,v6
"Oct 22, 2025","Mac17,2",Apple M5 4607 MHz (10 cores),4607.0,10,macOS,,4189,17388,/v6/cpu/14605188,v6
"Oct 22, 2025","iPad17,3",ARM 4427 MHz (9 cores),4427.0,9,iOS,,4189,15768,/v6/cpu/14604457,v6
"Nov 06, 2025","iPad17,3",ARM 4426 MHz (9 cores),4426.0,9,iOS,,4188,15785,/v6/cpu/14881585,v6
"Nov 05, 2025","iPad17,2",ARM 4427 MHz (10 cores),4427.0,10,iOS,,4188,16808,/v6/cpu/14866083,v6
"Nov 04, 2025","iPad17,2",ARM 4421 MHz (9 cores),4421.0,9,iOS,,4188,15763,/v6/cpu/14831361,v6
"Nov 02, 2025","iPad17,3",ARM 4419 MHz (10 cores),4419.0,10,iOS,,4188,16784,/v6/cpu/14807844,v6
"Oct 29, 2025","iPad17,1",ARM 4427 MHz (9 cores),4427.0,9,iOS,,4188,15754,/v6/cpu/14737621,v6
"Nov 04, 2025","iPad17,3",ARM 4427 MHz (10 cores),4427.0,10,iOS,,4187,16672,/v6/cpu/14834889,v6
"Nov 02, 2025","iPad17,1",ARM 4424 MHz (9 cores),4424.0,9,iOS,,4187,15574,/v6/cpu/14804837,v6
"Oct 28, 2025","Mac17,2",Apple M5 4607 MHz (10 cores),4607.0,10,macOS,,4187,17456,/v6/cpu/14703762,v6
"Oct 26, 2025","iPad17,1",ARM 4424 MHz (9 cores),4424.0,9,iOS,,4187,15705,/v6/cpu/14683151,v6
"Oct 24, 2025","iPad17,1",ARM 4421 MHz (9 cores),4421.0,9,iOS,,4187,15778,/v6/cpu/14641383,v6
"Oct 23, 2025 Aaronage","iPad17,3",ARM 4427 MHz (10 cores),4427.0,10,iOS,Aaronage,4187,16368,/v6/cpu/14616149,v6
"Nov 04, 2025","iPad17,1",ARM 4424 MHz (9 cores),4424.0,9,iOS,,4186,15907,/v6/cpu/14846677,v6
"Nov 04, 2025","iPad17,1",ARM 4426 MHz (9 cores),4426.0,9,iOS,,4186,15694,/v6/cpu/14844457,v6
"Nov 04, 2025","iPad17,1",ARM 4421 MHz (9 cores),4421.0,9,iOS,,4186,15674,/v6/cpu/14843897,v6
"Nov 04, 2025","iPad17,4",ARM 4418 MHz (9 cores),4418.0,9,iOS,,4186,15644,/v6/cpu/14839258,v6
"Nov 04, 2025 Cho_Seung_Woo","iPad17,4",ARM 4418 MHz (9 cores),4418.0,9,iOS,Cho_Seung_Woo,4186,15644,/v6/cpu/14839256,v6
